Employee ID,first_name,last_name,email,DOB,Telephone,Address,Gender,Trust,Ethnicity,Nationality,Visa Status,Staff Group,Role,Division,Ward,Grade,Salary,Hire Date,Contract Start,Weekly Hours,FTE,Registration Type,Contract Type,Employment Status,Registration Number,NI Number,Registration Expiry Date,DBS Expiry Date,Mandatory Training Completion Date,Mandatory Training Expiry Date,Profile Date
EMP0001,Margaret,Johnson,warddylan@example.net,1994-12-03,(0118) 496 0854,"3 Wright Meadow
Seanton
WS7 9NT",Male,Bluewater Community & Rehabilitation NHS Trust,White,Australia,ILR,Nursing,Charge Nurse,Critical Care & Anaesthesia,Intensive Care Unit,7,57724,2024-02-14,2024-03-13,15.0,0.4,NMC,Bank,Active,CC621809,DL180256,2029-05-02,2029-02-26,2025-10-30,2027-09-08,2024-03-06
EMP0002,Sharon,Richards,fbates@example.com,1998-10-25,+443069990652,"Flat 86
Margaret Neck
New Duncan
M95 5AW",Male,Broadfield Clinical Services NHS Trust,Asian,India,Dependent,Admin,Medical Secretary,Medicine & Acute Care,Rheumatology,4,35132,2024-08-24,2024-10-05,37.5,1.0,GMC,Permanent,Suspended,ZY962787,CX387170,2026-10-30,2029-08-22,2026-03-16,2027-07-04,2024-09-14
EMP0003,Antony,Reid,mitchell68@example.org,2002-11-30,(029)2018476,"30 Williams Knoll
Aimeestad
L8 2AJ",Female,Southvale Hospitals NHS Trust,Black,Jamaica,British Citizen,Admin,Receptionist,Clinical Support Services,Pharmacy,3,29074,2016-09-26,2016-10-31,15.0,0.4,None,Permanent,Suspended,UA525070,LP026781,2030-08-04,2030-08-18,2026-04-05,2027-03-04,2016-10-17
EMP0004,Clive,Watkins,paulawilson@example.com,1974-07-07,+44(0)121 4960659,"88 Phillip Village
Barrettland
IM21 1LW",Female,Oakridge Community Services NHS Trust,Asian,China,ILR,Admin,Receptionist,Clinical Support Services,Pharmacy,3,29851,2024-08-17,2024-09-28,20.0,0.53,HCPC,Bank,On Leave,SK244404,IO130909,2029-08-28,2029-03-13,2026-01-23,2027-04-30,2024-09-07
EMP0005,Carol,Cook,graham35@example.com,1985-05-07,(0808)1570456,"53 Gray Park
Warrentown
WN2R 9SF",Male,Northwood Mental Health NHS Trust,Mixed,India,British Citizen,Nursing,Staff Nurse,Corporate Services,Finance,5,37294,2024-12-10,2025-01-07,20.0,0.53,GMC,Bank,On Leave,IH211420,GO678228,2030-02-19,2031-04-30,2025-11-01,2027-03-16,2024-12-31
EMP0006,Pamela,Foster,kathleenrowe@example.org,1975-03-24,+44(0)161 4960092,"Studio 31
Nixon Freeway
Edwardsmouth
L7 5EZ",Female,Northwood Mental Health NHS Trust,Mixed,Japan,Skilled Worker,Admin,Administrator,Critical Care & Anaesthesia,Pain Management,3,30129,2017-08-26,2017-10-07,18.75,0.5,HCPC,Bank,Suspended,PM696538,NW477364,2026-12-28,2030-12-26,2025-12-07,2027-05-22,2017-09-16
EMP0007,Cameron,Lewis,tony10@example.com,1974-11-26,(0116)4960902,"46 Dylan Unions
Kayleighmouth
S46 9WH",Female,Eastmoor Teaching Hospitals NHS Trust,Asian,India,Skilled Worker,Admin,Medical Secretary,Critical Care & Anaesthesia,Intensive Care Unit,4,33645,2017-09-19,2017-10-31,15.0,0.4,HCPC,Permanent,On Leave,WP423059,CC427739,2028-10-17,2028-12-02,2026-08-19,2026-12-19,2017-10-10
EMP0008,Duncan,Powell,qjohnson@example.org,1968-01-17,01164960620,"Studio 9
Brooks Roads
New Steven
W2 9HF",Female,Greenhaven Acute & Specialist Care NHS Trust,White,United States,British Citizen,Admin,Administrator,Women & Children,Postnatal Care,3,27794,2021-07-04,2021-08-15,37.5,1.0,NMC,Bank,Suspended,XG428244,HU675087,2029-12-02,2030-03-01,2026-03-13,2027-01-09,2021-07-25
EMP0009,Clifford,Ashton,hilltoby@example.org,1977-07-19,+44(0)1614960280,"1 Angela Way
New Adrian
BN2 7SF",Female,Oakridge Community Services NHS Trust,Mixed,China,Dependent,Medical,Registrar,Critical Care & Anaesthesia,Pain Management,SPR,76525,2020-01-31,2020-03-13,30.0,0.8,NMC,Fixed Term,Suspended,BZ627136,MJ886022,2027-12-11,2026-09-17,2026-01-02,2027-04-18,2020-02-21
EMP0010,Ronald,Lewis,lesley72@example.com,1973-05-04,(0131) 4960907,"Flat 51n
Murphy Court
Kathleenland
EH52 0DP",Male,Southgate Community & Mental Health NHS Trust,Black,Trinidad and Tobago,Dependent,Nursing,Staff Nurse,Surgery & Cancer,Neurosurgery,5,44003,2021-06-18,2021-07-23,18.75,0.5,HCPC,Bank,Suspended,XU452701,HY074537,2027-06-03,2027-12-01,2026-01-24,2026-10-21,2021-07-09
