emp_id,first_name,last_name,email,dob,telephone,address,gender,trust,ethnicity,nationality,visa_status,staff_group,role,division,grade,salary,hire_date,contract_start,weekly_hours,fte,registration_type,contract_type,employment_status,registration_no,registration_expiry_date,ni,dbs_expiry_date,mandatory_training_expiry_date,profile_creation_date
EMP0001,Joe,Wright,eleanorsutton@example.org,1966-03-24,+44(0)121 496 0288,"063 Humphreys Well
Lake Aimee
G9 0LX",Female,Midlands Central Hospitals NHS Trust,White,New Zealand,ILR,Admin,Receptionist,Corporate Services,3,29979,2020-08-16,2020-09-27,15.0,0.4,GMC,Bank,Suspended,AA989366,2028-03-21,HH347280,2031-06-17,2027-07-09,2020-09-06
EMP0002,Dale,Bird,leanne15@example.net,1982-05-06,+44(0)1164960170,"2 Gareth Haven
Sheilaview
CW4 7HR",Female,Broadfield Clinical Services NHS Trust,Mixed,China,Dependent,Medical,GP,Critical Care & Anaesthesia,GP,95131,2024-09-11,2024-10-23,37.5,1.0,NMC,Permanent,Active,BW796151,2030-12-16,XX280533,2028-12-08,2027-02-08,2024-10-02
EMP0003,Lauren,Kirk,johnsonleon@example.net,1983-08-22,0121 4960060,"818 Bailey Stravenue
Palmerfurt
W67 4HQ",Female,Westmere Community Health NHS Trust,Asian,India,Dependent,Admin,Administrator,Medicine & Acute Care,3,29786,2020-08-03,2020-09-07,15.0,0.4,GMC,Fixed Term,On Leave,RT651431,2028-01-21,YA903245,2028-09-20,2027-07-19,2020-08-24
EMP0004,Ashleigh,Saunders,wrightjames@example.net,1980-05-31,0113 496 0681,"Flat 1
Marshall Villages
West Sophie
E4J 5YY",Female,Meadowbrook Community Health NHS Trust,Asian,Thailand,British Citizen,Nursing,Charge Nurse,Clinical Support Services,7,60180,2024-03-01,2024-04-05,15.0,0.4,NMC,Permanent,Active,PQ671352,2026-11-28,KL677859,2030-01-19,2027-04-29,2024-03-22
EMP0005,Charlene,Barlow,pearsonmax@example.org,2002-02-09,+4429 2018831,"Flat 08A
Nixon Walks
Zoeberg
G58 0ER",Male,Greenhaven Acute & Specialist Care NHS Trust,Mixed,New Zealand,Dependent,Nursing,Charge Nurse,Critical Care & Anaesthesia,7,59180,2020-10-05,2020-11-09,15.0,0.4,HCPC,Fixed Term,Suspended,MV563536,2028-12-21,IA192578,2028-06-13,2027-07-20,2020-10-26
EMP0006,Claire,Smith,sbrown@example.org,1975-02-09,+44117 4960648,"Studio 3
Sutton Hollow
Pearceburgh
TR73 9SU",Female,Riverside Integrated Care NHS Trust,Black,Kenya,ILR,Nursing,Ward Manager,Clinical Support Services,8A,59629,2018-11-03,2018-12-15,18.75,0.5,HCPC,Permanent,Active,CT452578,2030-08-09,NB154000,2029-05-12,2026-12-31,2018-11-24
EMP0007,Jennifer,George,mohammedhicks@example.net,1999-05-29,+44131 4960589,"Studio 54
Johnson Crest
Kirkbury
IV2M 7RL",Male,Broadfield Clinical Services NHS Trust,White,New Zealand,ILR,Nursing,Senior Staff Nurse,Surgery & Cancer,6,53527,2018-08-06,2018-09-10,37.5,1.0,None,Bank,On Leave,LQ003521,2030-05-02,AZ172228,2027-03-22,2026-12-12,2018-08-27
EMP0008,Keith,James,harriet65@example.com,1967-11-02,(0115)4960078,"915 Jarvis Glen
Port Yvonnebury
W0W 7QB",Female,Riverside Integrated Care NHS Trust,Mixed,United Kingdom,ILR,Nursing,Staff Nurse,Clinical Support Services,5,40309,2025-05-24,2025-06-21,18.75,0.5,NMC,Bank,Inactive,TB463249,2029-04-25,PA141784,2031-02-25,2027-01-21,2025-06-14
EMP0009,Bethany,Thomas,frances26@example.com,1974-08-29,+44(0)118 4960301,"Flat 10Y
Raymond Shoals
Waltonborough
PE7 6XH",Female,Broadfield Clinical Services NHS Trust,Black,Barbados,Dependent,Medical,FY1/FY2,Clinical Support Services,FY1,40280,2020-04-08,2020-05-20,20.0,0.53,NMC,Bank,On Leave,BG228637,2027-02-18,AU926863,2031-04-23,2027-05-25,2020-04-29
EMP0010,Shaun,Sanders,awebster@example.org,1964-03-31,+44(0)118 4960297,"28 Keith Orchard
Ruthhaven
SN7 0BQ",Female,Greenhaven Acute & Specialist Care NHS Trust,Mixed,Nigeria,Skilled Worker,Nursing,Staff Nurse,Corporate Services,5,40113,2022-11-08,2022-12-20,37.5,1.0,GMC,Bank,On Leave,AA548122,2026-12-05,VI779047,2027-08-20,2027-06-11,2022-11-29
EMP0011,Craig,Allan,alice86@example.com,1961-11-20,01514960471,"0 Ingram Knoll
Lake Francesca
LD82 8RN",Female,Southgate Community & Mental Health NHS Trust,White,United States,ILR,Nursing,Charge Nurse,Surgery & Cancer,7,57796,2017-11-01,2017-12-06,30.0,0.8,None,Permanent,Suspended,OA024308,2030-05-07,AC629794,2030-06-21,2027-01-01,2017-11-22
EMP0012,Abbie,Watts,ellieyates@example.org,1984-06-14,+44306 9990210,"Flat 2
O'Neill Bypass
Port Garethhaven
TW1P 9NF",Male,Northwood Mental Health NHS Trust,Asian,China,ILR,AHP,Radiographer,Surgery & Cancer,6,49403,2017-10-29,2017-12-03,18.75,0.5,NMC,Fixed Term,Suspended,TY797401,2028-03-17,KX918072,2028-10-11,2027-08-01,2017-11-19
