emp_id,first_name,last_name,email,dob,telephone,address,gender,trust,ethnicity,nationality,visa_status,staff_group,role,division,grade,hourly_rate,hire_date,contract_start,weekly_hours,fte,registration_type,contract_type,employment_status,registration_no,registration_expiry_date,ni,dbs_expiry_date,mandatory_training_expiry_date,profile_creation_date
EMP0001-20260913_210636,Owen,Marshall,heather83@example.net,1993-08-23,+44161 4960338,"132 Abigail Groves
Youngchester
L32 1WJ",Female,Westborough Acute Care NHS Trust,Mixed,Trinidad and Tobago,Dependent,AHP,Physiotherapist,Medicine & Acute Care,6,26.33,2022-06-13,2022-07-25,20.0,0.53,None,Permanent,Suspended,OS309240,2027-01-28,RK650665,2030-04-14,2027-01-15,2022-07-04
EMP0002-20260913_210636,Sylvia,Perkins,mohammedharvey@example.org,1978-05-03,08081570451,"065 Phillip Forge
Parkerfurt
W99 0NE",Female,Bluewater Community & Rehabilitation NHS Trust,Mixed,Ghana,Skilled Worker,Nursing,Ward Manager,Women & Children,8A,28.62,2017-07-21,2017-08-25,18.75,0.5,None,Bank,Active,HG581620,2029-04-08,XN795314,2027-05-04,2027-07-09,2017-08-11
EMP0003-20260913_210636,Amanda,McDonald,dodddale@example.org,1969-04-18,(0306)9990901,"4 Kennedy Roads
Brandonstad
WF77 5BJ",Male,Horizon Integrated Health Partnership NHS Trust,Black,Nigeria,Skilled Worker,Medical,GP,Corporate Services,GP,52.6,2020-07-18,2020-08-15,15.0,0.4,None,Fixed Term,Suspended,XV572501,2029-07-04,VJ493139,2027-07-20,2027-04-11,2020-08-08
EMP0004-20260913_210636,Leslie,Gibbs,shepherdemily@example.com,1966-11-12,01414960742,"Studio 5
Jones Extension
Lindahaven
JE1P 1ET",Male,Lakeside District Hospitals NHS Trust,Mixed,Trinidad and Tobago,Dependent,Admin,Medical Secretary,Medicine & Acute Care,4,17.29,2017-11-22,2017-12-20,18.75,0.5,HCPC,Permanent,Active,KO381371,2029-10-30,CK446955,2026-11-28,2027-06-25,2017-12-13
EMP0005-20260913_210636,Christine,Wright,caroline46@example.com,1991-07-24,01134960312,"Flat 41
Lynne Shores
Junebury
E5E 4LS",Male,Valleyview Mental Wellness NHS Trust,Black,Trinidad and Tobago,Dependent,AHP,Pharmacist,Medicine & Acute Care,5,19.52,2017-11-05,2017-12-17,18.75,0.5,None,Permanent,On Leave,GX270797,2027-10-31,WQ199183,2029-04-11,2026-12-07,2017-11-26
EMP0006-20260913_210636,Aimee,Hussain,qwilkinson@example.net,1964-02-05,+44909 879 0467,"Flat 19
Palmer Viaduct
South Frankmouth
B4T 0RD",Male,Meadowbrook Community Health NHS Trust,Asian,India,Skilled Worker,Admin,Administrator,Corporate Services,3,15.31,2022-09-10,2022-10-22,30.0,0.8,HCPC,Permanent,On Leave,IR138219,2029-06-09,IX212282,2031-03-05,2026-11-29,2022-10-01
EMP0007-20260913_210636,Jake,O'Brien,scottstanley@example.com,2003-07-23,0131 4960994,"50 Banks Shores
New Jade
B63 6NJ",Female,Valleyview Mental Wellness NHS Trust,Asian,Thailand,Skilled Worker,Nursing,Nursery Nurse,Critical Care & Anaesthesia,2,14.26,2019-05-29,2019-07-10,15.0,0.4,GMC,Permanent,Active,OL050649,2028-10-04,TD811142,2027-02-26,2026-11-19,2019-06-19
EMP0008-20260913_210636,Gavin,Wood,tobyrahman@example.org,1970-08-03,+44(0)1174960316,"Studio 10P
Woods Islands
West James
WV1 2FX",Female,Bluewater Community & Rehabilitation NHS Trust,Black,Barbados,Dependent,Medical,Consultant,Critical Care & Anaesthesia,CONS,58.71,2017-12-19,2018-01-30,15.0,0.4,GMC,Fixed Term,Suspended,CK312065,2028-01-11,GJ629163,2030-10-22,2027-01-18,2018-01-09
EMP0009-20260913_210636,Laura,Tomlinson,wattsconnor@example.net,2006-04-05,+44808 157 0386,"76 Leanne Crossing
New Donald
AB5A 3UE",Female,Riverbank General Hospitals NHS Trust,Asian,China,Skilled Worker,Medical,SHO,Surgery & Cancer,SHO,24.88,2019-11-13,2019-12-18,15.0,0.4,HCPC,Fixed Term,Suspended,PT265649,2028-10-25,SR839282,2031-01-07,2026-12-25,2019-12-04
EMP0010-20260913_210636,Lydia,Lee,annettejenkins@example.org,1989-02-09,(0116) 496 0101,"136 Webb Squares
Port Kimton
W9H 8PS",Male,Greenhaven Acute & Specialist Care NHS Trust,White,United Kingdom,Dependent,Nursing,Staff Nurse,Critical Care & Anaesthesia,5,22.44,2024-01-11,2024-02-22,18.75,0.5,None,Bank,Suspended,NV230237,2031-02-22,MV815705,2030-07-20,2027-06-26,2024-02-01
EMP0011-20260913_210636,Holly,Burton,jessica39@example.org,2000-10-26,(01632) 960 672,"819 Victor Valley
East Kieranview
NG9Y 7BU",Male,Southvale Hospitals NHS Trust,Mixed,Trinidad and Tobago,British Citizen,Admin,Receptionist,Surgery & Cancer,3,16.06,2025-10-22,2025-12-03,37.5,1.0,GMC,Bank,Suspended,YY039590,2030-08-04,FO841439,2029-04-04,2027-06-26,2025-11-12
EMP0012-20260913_210636,Eric,Lewis,francescarobson@example.net,1978-01-22,+44(0)113 4960583,"Studio 40
Amanda Summit
East Frederick
WF18 5UN",Female,Eastmoor Teaching Hospitals NHS Trust,Asian,Japan,ILR,Admin,Administrator,Surgery & Cancer,3,14.17,2025-12-26,2026-01-30,20.0,0.53,GMC,Bank,On Leave,BH957110,2029-02-21,FH606690,2031-09-04,2026-11-30,2026-01-16
EMP0013-20260913_210636,Adam,Vaughan,simpsonlaura@example.com,2007-11-03,+443069990760,"Flat 74e
John Route
Watsonberg
PE08 6XZ",Male,Northwood Mental Health NHS Trust,White,New Zealand,ILR,Admin,Medical Secretary,Critical Care & Anaesthesia,4,17.7,2019-08-29,2019-10-03,37.5,1.0,HCPC,Bank,Active,JR071313,2027-02-25,PS308879,2031-08-09,2027-09-01,2019-09-19
EMP0014-20260913_210636,Elliott,Oliver,moconnor@example.net,2006-12-12,+44808 157 0269,"Studio 29V
Cameron Creek
East Henry
G93 3QF",Male,Midlands Central Hospitals NHS Trust,White,Australia,ILR,Admin,Administrator,Clinical Support Services,3,14.53,2018-02-23,2018-03-30,37.5,1.0,None,Bank,On Leave,YP070457,2030-02-19,PX946610,2031-03-11,2027-03-26,2018-03-16
EMP0015-20260913_210636,Keith,Stone,ellisgraham@example.com,1972-11-01,+44191 4960950,"Studio 60e
Jones Track
West Glennburgh
CT5 8BD",Male,Meadowbrook Community Health NHS Trust,Asian,Japan,Dependent,Medical,Consultant,Corporate Services,CONS,64.52,2025-02-10,2025-03-24,37.5,1.0,HCPC,Bank,Active,FE198273,2029-11-12,UJ593023,2028-11-25,2027-03-27,2025-03-03
EMP0016-20260913_210636,Brandon,Owen,harrisdaniel@example.com,1963-01-21,0289018632,"Flat 62
Sally Loop
Elliottberg
N3 9QN",Male,Oakridge Community Services NHS Trust,Black,Jamaica,ILR,AHP,Occupational Therapist,Emergency & Urgent Care,6,26.89,2023-08-28,2023-10-09,30.0,0.8,HCPC,Fixed Term,On Leave,YM332787,2027-08-22,KV829154,2028-06-09,2026-10-29,2023-09-18
EMP0017-20260913_210636,Stanley,Clarke,murphyjosh@example.com,1996-10-01,+44(0)115 496 0552,"426 John Wall
Port Sianburgh
S7 1XR",Male,Riverbank General Hospitals NHS Trust,Black,Nigeria,Dependent,AHP,Physiotherapist,Women & Children,6,23.73,2019-01-03,2019-01-31,18.75,0.5,HCPC,Fixed Term,Active,ZS299934,2028-05-23,FH948164,2029-09-29,2027-04-06,2019-01-24
EMP0018-20260913_210636,Leanne,Shepherd,janice80@example.org,2002-11-20,03069990471,"299 Mitchell Mission
South Lindseyberg
SW71 9GX",Female,Hillcrest Medical Centres NHS Trust,Asian,China,British Citizen,Nursing,Senior Staff Nurse,Women & Children,6,25.47,2018-10-12,2018-11-09,20.0,0.53,None,Fixed Term,Suspended,SD313198,2028-10-18,MR427967,2028-03-28,2027-07-12,2018-11-02
EMP0019-20260913_210636,Carol,Chapman,alanmartin@example.com,1973-10-04,+44118 4960521,"7 Timothy Port
Mitchellburgh
NP3Y 7UY",Female,Hillcrest Medical Centres NHS Trust,White,United Kingdom,ILR,Admin,Data Analyst,Clinical Support Services,8A,28.53,2026-06-19,2026-07-31,15.0,0.4,NMC,Fixed Term,Inactive,HX185403,2029-10-08,SX157890,2030-06-27,2027-03-28,2026-07-10
EMP0020-20260913_210636,Ross,Smart,gregorymelanie@example.net,1982-08-13,01632 960423,"Flat 35
Begum Skyway
Scottview
G36 1XP",Male,Southvale Hospitals NHS Trust,White,Canada,Dependent,Nursing,Healthcare Assistant,Surgery & Cancer,2,12.94,2025-08-25,2025-10-06,30.0,0.8,None,Fixed Term,On Leave,MZ811881,2031-09-11,OU036898,2030-06-01,2027-07-23,2025-09-15
EMP0021-20260913_210636,Amy,Carter,jake60@example.org,1981-10-10,(01632)960233,"372 Shannon Rest
North Duncanport
N9 0PX",Male,Broadfield Clinical Services NHS Trust,Black,Kenya,ILR,Admin,Administrator,Corporate Services,3,14.58,2022-01-18,2022-02-15,18.75,0.5,None,Fixed Term,On Leave,UZ136348,2028-09-09,GC437368,2028-09-05,2027-04-02,2022-02-08
EMP0022-20260913_210636,Ellie,Dixon,johnjames@example.net,1975-04-16,0117 4960473,"296 Mistry Overpass
East Mohamed
M6 4PN",Female,Southgate Community & Mental Health NHS Trust,Black,Nigeria,Dependent,Nursing,Staff Nurse,Medicine & Acute Care,5,21.9,2017-08-15,2017-09-26,15.0,0.4,HCPC,Fixed Term,On Leave,OM345634,2029-04-16,GM462368,2029-05-30,2027-03-15,2017-09-05
EMP0023-20260913_210636,Alan,Brown,mohammadhowells@example.net,1983-05-21,0161 4960284,"481 June Cove
Griffithsmouth
S56 8WL",Male,Bluewater Community & Rehabilitation NHS Trust,Asian,India,Dependent,Nursing,Nursery Nurse,Women & Children,2,13.67,2020-11-25,2020-12-23,37.5,1.0,HCPC,Bank,Inactive,DT804862,2027-10-24,KK601375,2028-08-11,2026-12-05,2020-12-16
EMP0024-20260913_210636,Sandra,Ahmed,gallen@example.org,2007-11-19,01134960783,"616 Melanie Common
New Jodie
LN65 4NN",Female,Midlands Central Hospitals NHS Trust,Mixed,Barbados,Skilled Worker,Medical,Consultant,Women & Children,CONS,58.94,2020-01-16,2020-02-13,15.0,0.4,GMC,Bank,Inactive,ZW342924,2031-04-06,GU368163,2030-07-01,2027-08-09,2020-02-06
EMP0025-20260913_210636,Lauren,Kirby,sparkes@example.net,1989-08-04,+44292018560,"052 Hardy Bridge
Port Georgeview
EX61 0EP",Female,Westmere Community Health NHS Trust,Asian,China,Dependent,Nursing,Nursery Nurse,Medicine & Acute Care,2,12.53,2020-02-03,2020-03-02,30.0,0.8,NMC,Fixed Term,Active,XF215222,2031-05-03,YQ834869,2029-10-20,2027-08-21,2020-02-24
EMP0026-20260913_210636,Joel,Smith,hamiltontracy@example.net,1977-06-03,(0117) 496 0371,"Flat 61
Joan Stream
Paynechester
DD1M 9PY",Male,Riverbank General Hospitals NHS Trust,Asian,Japan,Dependent,Admin,Administrator,Corporate Services,3,13.53,2018-12-15,2019-01-12,15.0,0.4,HCPC,Fixed Term,On Leave,VX868847,2031-03-07,TC452299,2030-10-15,2026-12-19,2019-01-05
EMP0027-20260913_210636,Louis,Davison,ljones@example.org,1973-07-27,+443069990656,"Studio 90
Charlie Motorway
East Daleland
TR34 9JN",Female,Lakeside District Hospitals NHS Trust,Asian,India,Dependent,Medical,FY1/FY2,Clinical Support Services,FY1,20.72,2024-10-31,2024-11-28,37.5,1.0,NMC,Bank,Active,SD984170,2030-07-30,YT009343,2030-06-05,2027-06-04,2024-11-21
EMP0028-20260913_210636,Carol,Lewis,louis74@example.com,1990-09-09,0113 496 0956,"3 Gallagher Park
Port Timothy
E5T 2DA",Female,Eastfield Psychological Services NHS Trust,Asian,China,Dependent,AHP,Radiographer,Women & Children,6,25.24,2016-10-20,2016-11-24,37.5,1.0,NMC,Permanent,On Leave,ZI716313,2028-11-01,JX498267,2028-04-12,2027-03-15,2016-11-10
EMP0029-20260913_210636,Bethan,Williams,sbond@example.org,1970-11-29,01214960895,"Studio 81
Murphy Port
North Dawn
W61 2XU",Male,Greenhaven Acute & Specialist Care NHS Trust,Asian,China,British Citizen,Medical,Registrar,Emergency & Urgent Care,SPR,39.23,2023-04-04,2023-05-02,20.0,0.53,NMC,Bank,On Leave,ER049897,2030-01-04,AD646618,2027-04-22,2027-07-23,2023-04-25
EMP0030-20260913_210636,Caroline,Jackson,brucethompson@example.net,1983-10-22,+4429 2018399,"0 Lloyd Ridge
Reevesside
HD8X 8XL",Female,Broadfield Clinical Services NHS Trust,Mixed,Barbados,British Citizen,AHP,Physiologist,Clinical Support Services,6,23.47,2019-01-04,2019-02-15,15.0,0.4,NMC,Bank,Suspended,YG692793,2027-12-18,HW630750,2030-08-04,2027-05-01,2019-01-25
EMP0031-20260913_210636,Barry,Graham,lynchmichael@example.org,1984-03-05,0151 4960955,"251 Grace Curve
New Joanna
S68 4RR",Female,Horizon Integrated Health Partnership NHS Trust,Black,Jamaica,British Citizen,Nursing,Staff Nurse,Women & Children,5,19.85,2017-07-17,2017-08-21,30.0,0.8,NMC,Permanent,Suspended,YF012478,2027-09-03,ZO981847,2026-10-14,2027-01-03,2017-08-07
EMP0032-20260913_210636,Gail,Booth,vcoates@example.net,1967-03-13,029 2018 0421,"Flat 81
Allan Mountains
Lake Lewis
PL55 9ZL",Male,Bluewater Community & Rehabilitation NHS Trust,Black,Nigeria,ILR,Medical,Registrar,Clinical Support Services,SPR,42.29,2022-09-11,2022-10-09,18.75,0.5,None,Permanent,On Leave,MX411875,2026-09-20,UT256310,2028-07-31,2027-08-25,2022-10-02
EMP0033-20260913_210636,Arthur,White,wsmith@example.net,1986-10-30,0131 496 0222,"Flat 51q
Turner Mountain
Victoriaton
ZE8 4TY",Male,Northwood Mental Health NHS Trust,Mixed,Canada,ILR,Medical,GP,Women & Children,GP,57.31,2024-06-12,2024-07-17,15.0,0.4,NMC,Bank,Active,KK125416,2029-04-04,XF723975,2031-05-22,2027-03-28,2024-07-03
EMP0034-20260913_210636,Joyce,Patel,hrhodes@example.net,2008-04-02,(0151) 4960277,"7 Townsend Way
Sallyport
W6 6XY",Female,Southvale Hospitals NHS Trust,Black,Ghana,Skilled Worker,AHP,Radiographer,Surgery & Cancer,6,22.58,2017-08-05,2017-09-16,30.0,0.8,GMC,Fixed Term,Inactive,AU293974,2028-10-07,RH744979,2027-05-12,2026-10-17,2017-08-26
EMP0035-20260913_210636,Michael,Price,taylordeclan@example.org,1978-02-03,+44113 496 0941,"Studio 70F
Deborah Trafficway
South Mohamedmouth
N0U 1UG",Male,Broadfield Clinical Services NHS Trust,Mixed,South Africa,British Citizen,Nursing,Nursery Nurse,Corporate Services,2,14.23,2025-12-07,2026-01-18,18.75,0.5,HCPC,Bank,Active,EY598157,2031-02-02,GE633275,2029-10-15,2026-09-27,2025-12-28
EMP0036-20260913_210636,Philip,Williams,heatherfarrell@example.org,1968-03-17,+44115 496 0140,"80 Stanley Cliff
Lewisfurt
E7 7ZT",Female,Westborough Acute Care NHS Trust,Black,Barbados,British Citizen,Medical,Registrar,Corporate Services,SPR,34.61,2020-04-18,2020-05-23,15.0,0.4,NMC,Fixed Term,On Leave,YW559239,2028-07-05,QC859017,2028-10-18,2027-07-16,2020-05-09
EMP0037-20260913_210636,Rosie,Thomas,hollie80@example.com,1985-03-01,01164960782,"Flat 37f
O'Neill Grove
Hollandmouth
GU8M 1EB",Male,Bluewater Community & Rehabilitation NHS Trust,Black,Barbados,Skilled Worker,Medical,Registrar,Critical Care & Anaesthesia,SPR,35.81,2022-04-14,2022-05-12,20.0,0.53,None,Permanent,Active,TX945879,2028-04-17,HZ631984,2028-10-19,2027-08-14,2022-05-05
EMP0038-20260913_210636,Dawn,Knowles,juliaclayton@example.net,1985-10-11,+44(0)1914960706,"Studio 64
Jordan Gardens
Nicolaborough
NE3X 9NA",Male,Riverbank General Hospitals NHS Trust,Mixed,New Zealand,Dependent,Medical,GP,Surgery & Cancer,GP,52.95,2018-06-17,2018-07-15,30.0,0.8,HCPC,Permanent,Active,LK219318,2027-09-16,VJ885060,2027-08-04,2027-09-11,2018-07-08
EMP0039-20260913_210636,Naomi,Roberts,xkhan@example.com,1967-10-14,+44808 1570618,"Flat 21
Josephine Islands
West Louise
HG29 7LR",Female,Southvale Hospitals NHS Trust,Mixed,Trinidad and Tobago,British Citizen,AHP,Physiotherapist,Medicine & Acute Care,6,27.46,2021-06-13,2021-07-25,37.5,1.0,None,Bank,Inactive,BH239274,2028-08-02,EG453902,2031-08-17,2026-12-30,2021-07-04
EMP0040-20260913_210636,Clare,Hart,martyn27@example.com,1976-06-30,+44(0)114 4960122,"Flat 47c
Jasmine Via
New Kieran
BB6 0EB",Male,Hillcrest Medical Centres NHS Trust,Asian,Thailand,ILR,AHP,Speech Therapist,Critical Care & Anaesthesia,6,25.38,2020-11-18,2020-12-30,15.0,0.4,HCPC,Fixed Term,Suspended,VO824339,2028-08-17,BY943540,2030-10-16,2027-02-04,2020-12-09
EMP0041-20260913_210636,Patrick,Hale,dennis33@example.org,1979-01-16,+44(0)141 4960217,"3 Jordan Cove
Port Callum
M2D 4TY",Male,Horizon Integrated Health Partnership NHS Trust,Mixed,United States,ILR,Nursing,Healthcare Assistant,Emergency & Urgent Care,2,14.18,2023-05-04,2023-06-01,15.0,0.4,HCPC,Bank,Suspended,EM177034,2029-01-04,BC191211,2027-09-05,2027-01-23,2023-05-25
EMP0042-20260913_210636,Garry,King,mohammad81@example.com,1970-02-28,(0117) 4960928,"853 Begum Mountain
New Marion
SE75 8DG",Female,Riverbank General Hospitals NHS Trust,Asian,Thailand,Dependent,AHP,Pharmacist,Clinical Support Services,5,20.26,2023-06-08,2023-07-20,15.0,0.4,None,Bank,Inactive,NG401598,2030-10-28,CW997348,2029-12-15,2027-05-09,2023-06-29
EMP0043-20260913_210636,Alice,McLean,damien41@example.com,1971-01-06,(0191) 496 0446,"8 Ruth Flats
Port Dylan
E77 9YD",Female,Northshire University Hospitals NHS Trust,Asian,Japan,Dependent,Admin,Data Analyst,Medicine & Acute Care,8A,31.31,2021-03-09,2021-04-13,15.0,0.4,None,Fixed Term,Inactive,EU064996,2031-07-25,YZ949701,2027-04-30,2027-08-11,2021-03-30
EMP0044-20260913_210636,Donna,Harris,zhoward@example.net,2001-04-08,(0116) 4960898,"047 Amanda Roads
Jeanside
TF9Y 0BY",Female,Westmere Community Health NHS Trust,Asian,India,Dependent,Nursing,Ward Manager,Emergency & Urgent Care,8A,31.38,2018-05-07,2018-06-04,18.75,0.5,GMC,Permanent,Suspended,VW643845,2028-03-07,SF209488,2029-11-14,2027-09-09,2018-05-28
EMP0045-20260913_210636,Joe,Davies,amberdyer@example.org,1994-05-22,0808 157 0202,"Studio 53
Scott Trail
Wilsonstad
E8 3ZD",Male,Westborough Acute Care NHS Trust,White,United Kingdom,ILR,Admin,Medical Secretary,Emergency & Urgent Care,4,16.03,2020-02-29,2020-04-04,30.0,0.8,None,Permanent,Suspended,CA961609,2027-09-16,OG349497,2028-10-01,2027-06-09,2020-03-21
