booking reference,shift_date,start,end,trust,staff group,ward,division,request grade,booked grade,payband,day rate,night rate,staff_id,requester,request_reason,booked date
BR-00000001-20260913_210636,2025-10-29,03:45:00,09:45:00,Westmere Community Health NHS Trust,AHP,Anaesthesia,Critical Care & Anaesthesia,Pharmacist,Physiotherapist,6,22.56,28.21,EMP0810-20260913_210636,Colin Rogers,Additional Patient Safety Cover,2026-03-31
BR-00000002-20260913_210636,2026-08-17,01:00:00,03:00:00,Westborough Acute Care NHS Trust,Nursing,Occupational Therapy,Clinical Support Services,Charge Nurse,Staff Nurse,5,18.97,23.08,EMP0017-20260913_210636,Miss Joanne Turnbull,Additional Patient Safety Cover,2025-08-05
BR-00000003-20260913_210636,2026-04-07,17:00:00,00:00:00,Riverside Integrated Care NHS Trust,AHP,Emergency Department,Emergency & Urgent Care,Physiotherapist,Speech Therapist,6,22.56,28.21,EMP0417-20260913_210636,Dr Kim Wallace,Ward Capacity Increase,2024-10-05
BR-00000004-20260913_210636,2025-09-30,13:30:00,14:30:00,Southvale Hospitals NHS Trust,Nursing,Breast Surgery,Surgery & Cancer,Nursery Nurse,Senior Staff Nurse,6,22.56,28.21,EMP0826-20260913_210636,Carol Allen,Training Cover,2025-05-08
BR-00000005-20260913_210636,2026-06-17,19:00:00,06:00:00,Valleyview Mental Wellness NHS Trust,Admin,Nephrology,Medicine & Acute Care,Receptionist,Receptionist,3,13.33,16.41,EMP0076-20260913_210636,Clifford Hughes-Moore,Bank Holiday Cover,2026-05-18
BR-00000006-20260913_210636,2026-10-19,23:00:00,04:00:00,Northwood Mental Health NHS Trust,Medical,Physiotherapy,Clinical Support Services,SHO,Consultant,CONS,48.72,71.79,EMP0542-20260913_210636,Eric Morris,Maternity Leave Cover,2025-07-23
BR-00000007-20260913_210636,2027-04-05,00:00:00,11:00:00,Meadowbrook Community Health NHS Trust,Admin,Urgent Care,Emergency & Urgent Care,Administrator,Administrator,3,13.33,16.41,EMP0288-20260913_210636,Valerie Hart,Sickness Cover,2024-11-02
BR-00000008-20260913_210636,2027-03-15,22:45:00,02:45:00,Bluewater Community & Rehabilitation NHS Trust,Medical,Ambulance Services,Emergency & Urgent Care,GP,Consultant,CONS,48.72,71.79,EMP0751-20260913_210636,Alice Watson,Training Cover,2025-03-22
BR-00000009-20260913_210636,2026-02-04,21:15:00,03:15:00,Meadowbrook Community Health NHS Trust,Nursing,Urgent Care,Emergency & Urgent Care,Staff Nurse,Ward Manager,8A,28.21,35.9,EMP0035-20260913_210636,Dr Rosemary Khan,Operational Requirement,2025-12-04
BR-00000010-20260913_210636,2026-11-19,16:00:00,04:00:00,Oakridge Community Services NHS Trust,AHP,General Surgery,Surgery & Cancer,Speech Therapist,Physiologist,6,22.56,28.21,EMP1178-20260913_210636,Carly McDonald,Operational Requirement,2026-06-02
BR-00000011-20260913_210636,2027-03-31,04:15:00,08:15:00,Riverbank General Hospitals NHS Trust,Medical,Oncology,Medicine & Acute Care,GP,Registrar,SPR,33.33,43.59,EMP0702-20260913_210636,Miss Donna Davison,Staff Redeployment,2026-04-11
